,sym,asset,apy,duration,txt,airdrop,type,override,sym.1,duration_yield,daily_vol,duration_vol,duration_prob_liquidation,duration_fundingrate,duration_fundingrate_r2,expected_return,expected_return_annl
56,BNXUSDT,BNX,0.2415,60,BNX24.15%30601BNX,False,staking,False,BNXUSDT,0.0396986301369863,0.0913961605267251,0.707951615254612,0.07889758348504011,-0.04165644112149534,,-0.000978905492254479,-0.005955008411214747
57,1INCHUSDT,1INCH,0.0223,60,1INCH2.23%1530600.11INCH,False,staking,False,1INCHUSDT,0.003665753424657534,0.04785921540274259,0.3707158884347511,0.003493287131295467,-0.00567059,0.6233571096845375,-0.001002418287671209,-0.00609804458333319
58,QTUMUSDT,QTUM,0.0739,120,QTUM7.39%3060901200.1QTUM,False,staking,False,QTUMUSDT,0.0242958904109589,0.05301592199999816,0.5807603277266679,0.04254556586048818,-0.03223473,,-0.003969419794520538,-0.01207365187499997
59,KLAYUSDT,KLAY,0.1037,90,KLAY10.37%3060901KLAY,False,staking,False,KLAYUSDT,0.02556986301369863,0.03427117845935717,0.3251249460890069,0.001049902156750839,-0.04303154999999999,0.01920937796679337,-0.008730843493150654,-0.0354084208333332
60,CRVUSDT,CRV,0.0723,90,CRV7.23%1530900.001CRV,False,staking,False,CRVUSDT,0.01782739726027397,0.0682871340897883,0.6478286358271804,0.06134044026509006,-0.04067435,0.8767381784840018,-0.01142347636986298,-0.04632854305555541
61,BNBUSDT,BNB,0.05230000000000001,1,BSCBNB5.23%Flexible Lock0.00001BNB,False,defi,False,BNBUSDT,0.0001432876712328767,0.03711750009488521,0.03711750009488521,3.590332590445682e-160,-0.00051691,0.6507454385257102,-0.0001868111643835805,-0.06818607500000687
62,WAVESUSDT,WAVES,0.1089,120,WAVES10.89%1530601200.01WAVES,False,staking,False,WAVESUSDT,0.0358027397260274,0.08262623399816195,0.9051250440498714,0.1346188563979366,-0.14428377,,-0.05424051513698629,-0.164981566875
63,OMUSDT,OM,0.5268999999999999,90,OM52.69%3060901OM,False,staking,False,OMUSDT,0.1299205479452055,0.05286569857142765,0.5015280527448632,0.0230811415688147,,,,
64,FIOUSDT,FIO,0.4868,90,FIO48.68%30900.1FIO,False,staking,False,FIOUSDT,0.1200328767123288,0.06739916967451068,0.6394046657268097,0.05891409112708972,,,,
65,TRUUSDT,TRU,0.3449,120,TRU34.49%301201TRU,False,staking,False,TRUUSDT,0.1133917808219178,0.07783479876858733,0.8526375008886121,0.1204317197383145,,,,
66,TKOUSDT,TKO,0.1399,90,TKO13.99%901TKO,False,staking,False,TKOUSDT,0.03449589041095891,0.04448864406137998,0.4220563357394536,0.008909643941356188,,,,
67,LAZIOUSDT,LAZIO,0.1529,90,LAZIO15.29%30900.01LAZIO,False,staking,False,LAZIOUSDT,0.03770136986301369,0.0755413393475317,0.7166480695136942,0.08144987903981699,,,,
68,USTUSDT,UST,0.2166,90,UST21.66%900.01UST,False,staking,False,USTUSDT,0.05340821917808219,0.0007437071085428849,0.007055425125160755,0.0,,,,
69,BSWUSDT,BSW,1.0023,90,BSW100.23%30900.01BSW,False,staking,False,BSWUSDT,0.2471424657534247,0.2077016660005072,1.970431015119474,0.3059009039445666,,,,
70,BTTCUSDT,BTTC,0.2519,90,BTTC25.19%3090300BTTC,False,staking,False,BTTCUSDT,0.0621123287671233,0.03137678454100799,0.2976663144058384,0.0003904656479929087,,,,
71,MINAUSDT,MINA,0.1229,90,MINA12.29%3060900.05MINA,False,staking,False,MINAUSDT,0.0303041095890411,0.06464177342311019,0.6132457080287023,0.05148022232746269,,,,
72,HIGHUSDT,HIGH,0.4019,90,HIGH40.19%3060900.01HIGH,False,staking,False,HIGHUSDT,0.0990986301369863,0.1078685833196686,1.023331233797398,0.1642349002829617,,,,
73,MBOXUSDT,MBOX,0.1879,90,MBOX18.79%30900.1MBOX,False,staking,False,MBOXUSDT,0.04633150684931506,0.1032711377988765,0.9797160360046723,0.1536973679952643,,,,
74,ALPINEUSDT,ALPINE,0.2154,90,ALPINE21.54%30900.01ALPINE,False,staking,False,ALPINEUSDT,0.05311232876712329,0.1239257911090288,1.175663282228325,0.1975003294018056,,,,
75,GLMRUSDT,GLMR,0.7728,90,GLMR77.28%900.1GLMR,False,staking,False,GLMRUSDT,0.1905534246575343,0.09850544090194255,0.9345046655077484,0.1422903866623711,,,,
76,SHIBUSDT,SHIB,0.1209,120,SHIB12.09%10306090120200SHIB,False,staking,False,SHIBUSDT,0.03974794520547945,0.06186451696742931,0.6776918290444425,0.07002606140728417,,,,
77,DEXEUSDT,DEXE,0.1789,60,DEXE17.89%30601DEXE,False,staking,False,DEXEUSDT,0.02940821917808219,0.05134853969156848,0.3977440781550305,0.005965484885306897,,,,
78,MCUSDT,MC,0.8019,120,MC80.19%301200.001MC,False,staking,False,MCUSDT,0.2636383561643836,0.06855420990906326,0.7509737435827626,0.09149509629844094,,,,
79,VOXELUSDT,VOXEL,0.08349999999999999,60,VOXEL8.35%30600.1VOXEL,False,staking,False,VOXELUSDT,0.01372602739726027,0.0898419554346296,0.6959127943780588,0.07536444481702627,,,,
80,OAXUSDT,OAX,0.1,30,OAX10%301OAX,False,staking,False,OAXUSDT,0.008219178082191782,,,,,,,
81,NBSUSDT,NBS,0.1075,30,NBS10.75%3010000NBS,False,staking,False,NBSUSDT,0.008835616438356165,0.0653331337817881,0.3578443112478814,0.002598910567105941,,,,
82,MOVRUSDT,MOVR,0.1628,30,MOVR16.28%300.01MOVR,False,staking,False,MOVRUSDT,0.01338082191780822,0.06649273814795575,0.3641957259391965,0.003018395345811001,,,,
83,DOCKUSDT,DOCK,0.1721,90,DOCK17.21%30609010DOCK,False,staking,False,DOCKUSDT,0.04243561643835617,0.0529556165397511,0.5023810894922941,0.02326679841233643,,,,
84,CAKEUSDT,CAKE,0.7056,90,CAKE70.56%3060900.001CAKE,False,staking,False,CAKEUSDT,0.1739835616438356,0.05190863460030497,0.4924485466991633,0.02114429131385106,,,,
85,EZUSDT,EZ,0.21,60,EZ21%30601EZ,False,staking,False,EZUSDT,0.03452054794520548,,,,,,,
86,PORTOUSDT,PORTO,0.1835,90,PORTO18.35%3060901PORTO,False,staking,False,PORTOUSDT,0.04524657534246576,0.06595260909684694,0.6256813871303307,0.05499283543236727,,,,
87,PNTUSDT,PNT,0.1856,30,PNT18.56%3020PNT,False,staking,False,PNTUSDT,0.01525479452054795,0.06078227020576125,0.3329182048806961,0.001333412025593802,,,,
88,VGXUSDT,VGX,0.0925,90,VGX9.25%3060901VGX,False,staking,False,VGXUSDT,0.02280821917808219,0.04782798804898165,0.4537361344142847,0.01376484130663339,,,,
89,FETUSDT,FET,0.0524,90,FET5.24%3060901FET,False,staking,False,FETUSDT,0.01292054794520548,0.06312965572135103,0.5989004999452479,0.04748674998531752,,,,
90,FARMUSDT,FARM,0.1429,60,FARM14.29%30600.2FARM,False,staking,False,FARMUSDT,0.02349041095890411,0.08086219577263054,0.6263558751303238,0.05518453464061901,,,,
91,INJUSDT,INJ,0.0562,90,INJ5.62%3060901INJ,False,staking,False,INJUSDT,0.01385753424657534,0.07097406406915294,0.6733190917717248,0.06874808384343147,,,,
92,BIFIUSDT,BIFI,0.0319,90,BIFI3.19%3060900.01BIFI,False,staking,False,BIFIUSDT,0.007865753424657534,0.0477875011221241,0.4533520417012932,0.01369930705026274,,,,
93,RAMPUSDT,RAMP,0.0926,30,RAMP9.26%301RAMP,False,staking,False,RAMPUSDT,0.007610958904109589,0.06312795303250496,0.3457660388502962,0.001913203798394143,,,,
94,MDXUSDT,MDX,0.1124,60,MDX11.24%30600.1MDX,False,staking,False,MDXUSDT,0.01847671232876712,0.05246264479689791,0.4063738991927616,0.006931613514458194,,,,
95,MIRUSDT,MIR,0.1192,60,MIR11.92%30601MIR,False,staking,False,MIRUSDT,0.01959452054794521,0.08177131472904908,0.6333978802861847,0.05719252215165409,,,,
96,AUCTIONUSDT,AUCTION,0.1374,90,AUCTION13.74%3060900.1AUCTION,False,staking,False,AUCTIONUSDT,0.03387945205479452,0.06936854932088254,0.6580878415071458,0.06431155552336046,,,,
97,VITEUSDT,VITE,0.1347,30,VITE13.47%3010VITE,False,staking,False,VITEUSDT,0.01107123287671233,0.06265989965583899,0.3432024049251321,0.00178567895057149,,,,
98,IRISUSDT,IRIS,0.0823,90,IRIS8.23%306090100IRIS,False,staking,False,IRISUSDT,0.02029315068493151,0.06632111326704444,0.629177324645614,0.05598764641347605,,,,
99,LTOUSDT,LTO,0.0595,30,LTO5.95%730100LTO,False,staking,False,LTOUSDT,0.00489041095890411,0.07180714888089366,0.3933039523219731,0.005502141145284615,,,,
100,KMDUSDT,KMD,0.078,30,KMD7.8%305KMD,False,staking,False,KMDUSDT,0.00641095890410959,0.04862735530299498,0.2663429941126881,8.682410197952711e-05,,,,
101,ADXUSDT,ADX,0.467,30,ADX46.7%3010ADX,False,staking,False,ADXUSDT,0.03838356164383562,0.04223187920932697,0.2313135288878182,7.6913185353588e-06,,,,
102,FIROUSDT,FIRO,0.0578,30,FIRO5.78%30100FIRO,False,staking,False,FIROUSDT,0.00475068493150685,0.05035933322721824,0.2758294278946686,0.0001442410889374178,,,,
103,COSUSDT,COS,0.1249,30,COS12.49%15301000COS,False,staking,False,COSUSDT,0.01026575342465753,0.1089073241240779,0.59650998100284,0.0468281841752805,,,,
104,LSKUSDT,LSK,0.0223,90,LSK2.23%3060901LSK,False,staking,False,LSKUSDT,0.005498630136986302,0.05107005798811043,0.4844931104379159,0.01950824957898863,,,,
105,BUSDUSDT,BUSD,0.1333,120,VENUSBUSD13.33%Flexible Lock1200.01BUSD,False,defi,False,BUSDUSDT,0.04382465753424658,0.0001623056256292995,0.001777969047343119,0.0,,,,
106,USDTUSDT,USDT,0.0312,1,VENUSUSDT3.12%Flexible Lock0.0001USDT,False,defi,False,USDTUSDT,8.547945205479453e-05,,,,,,,
107,USDCUSDT,USDC,0.0279,1,VENUSUSDC2.79%Flexible Lock0.0001USDC,False,defi,False,USDCUSDT,7.643835616438356e-05,0.0001997792493820207,0.0001997792493820207,0.0,,,,
108,HARDUSDT,HARD,0.1,1,HARDHARD10%Flexible Lock0.00001HARD,False,defi,False,HARDUSDT,0.0002739726027397261,0.06245328023167294,0.06245328023167294,5.270990492939603e-58,,,,
